,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
109,2014-10-21,0.21436,5,0.7663,2.0,0.0,2.0,0.37126,5.0,46.85,47.08,46.16,47.07,47.07,45.34,46.48,45.1,46.09,46.09
110,2014-10-23,0.8622,1,0.21436,5.0,0.7663,2.0,0.0,2.0,46.93,47.26,46.4,47.06,47.06,46.64,47.48,46.11,46.22,46.22
111,2014-10-24,0.5411,1,0.8622,1.0,0.21436,5.0,0.7663,2.0,47.25,47.56,46.24,47.05,47.05,46.93,47.26,46.4,47.06,47.06
112,2014-10-26,0.2732,1,0.5411,1.0,0.8622,1.0,0.21436,5.0,,,,,,,,,,
113,2014-10-27,0.4093,3,0.2732,1.0,0.5411,1.0,0.8622,1.0,46.85,46.92,44.06,44.33,44.33,47.25,47.56,46.24,47.05,47.05
114,2014-10-28,0.21996999999999997,10,0.4093,3.0,0.2732,1.0,0.5411,1.0,45.92,48.92,45.65,48.55,48.55,46.85,46.92,44.06,44.33,44.33
115,2014-10-29,0.65846,5,0.21996999999999997,10.0,0.4093,3.0,0.2732,1.0,48.23,48.3,47.13,47.62,47.62,45.92,48.92,45.65,48.55,48.55
116,2014-10-30,0.0,1,0.65846,5.0,0.21996999999999997,10.0,0.4093,3.0,47.63,48.1,47.01,47.73,47.73,48.23,48.3,47.13,47.62,47.62
117,2014-10-31,0.42428,5,0.0,1.0,0.65846,5.0,0.21996999999999997,10.0,48.5,48.62,47.75,48.34,48.34,47.63,48.1,47.01,47.73,47.73
118,2014-11-03,0.22557500000000005,4,0.42428,5.0,0.0,1.0,0.65846,5.0,48.6,49.51,48.26,48.52,48.52,48.5,48.62,47.75,48.34,48.34
119,2014-11-05,0.21075,2,0.22557500000000005,4.0,0.42428,5.0,0.0,1.0,48.2,48.27,46.11,46.19,46.19,48.1,48.47,47.31,47.79,47.79
120,2014-11-06,0.33645,4,0.21075,2.0,0.22557500000000005,4.0,0.42428,5.0,46.9,49.34,45.7,48.24,48.24,48.2,48.27,46.11,46.19,46.19
121,2014-11-08,0.6597,1,0.33645,4.0,0.21075,2.0,0.22557500000000005,4.0,,,,,,,,,,
122,2014-11-11,0.7184,1,0.6597,1.0,0.33645,4.0,0.21075,2.0,48.51,50.36,48.4,50.22,50.22,47.82,48.58,47.36,48.39,48.39
123,2014-11-12,0.24695,2,0.7184,1.0,0.6597,1.0,0.33645,4.0,49.94,50.47,49.12,49.82,49.82,48.51,50.36,48.4,50.22,50.22
