created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
2020-04-14,0.353175,4,0.1586428571428571,7.0,0.2075142857142857,7.0,0.19711250000000002,8.0,139.79,148.38,138.49,141.98,141.98,118.03,130.4,116.11,130.19,130.19
2020-04-15,0.4854,1,0.353175,4.0,0.1586428571428571,7.0,0.2075142857142857,7.0,148.4,150.63,142.0,145.97,145.97,139.79,148.38,138.49,141.98,141.98
2020-04-16,0.15155438596491227,57,0.4854,1.0,0.353175,4.0,0.1586428571428571,7.0,143.39,151.89,141.34,149.04,149.04,148.4,150.63,142.0,145.97,145.97
2020-04-17,0.05135000000000001,10,0.15155438596491227,57.0,0.4854,1.0,0.353175,4.0,154.46,154.99,149.53,150.78,150.78,143.39,151.89,141.34,149.04,149.04
2020-04-18,0.22367058823529415,17,0.05135000000000001,10.0,0.15155438596491227,57.0,0.4854,1.0,,,,,,,,,,
2020-04-19,0.3101928571428571,14,0.22367058823529415,17.0,0.05135000000000001,10.0,0.15155438596491227,57.0,,,,,,,,,,
2020-04-20,0.31457999999999997,5,0.3101928571428571,14.0,0.22367058823529415,17.0,0.05135000000000001,10.0,146.54,153.11,142.44,149.27,149.27,154.46,154.99,149.53,150.78,150.78
2020-04-21,0.3157555555555555,9,0.31457999999999997,5.0,0.3101928571428571,14.0,0.22367058823529415,17.0,146.02,150.67,134.76,137.34,137.34,146.54,153.11,142.44,149.27,149.27
2020-04-22,0.1670625,24,0.3157555555555555,9.0,0.31457999999999997,5.0,0.3101928571428571,14.0,140.8,146.8,137.74,146.42,146.42,146.02,150.67,134.76,137.34,137.34
2020-04-23,0.3012619047619048,21,0.1670625,24.0,0.3157555555555555,9.0,0.31457999999999997,5.0,145.52,146.8,140.63,141.13,141.13,140.8,146.8,137.74,146.42,146.42
2020-04-24,0.07873529411764707,17,0.3012619047619048,21.0,0.1670625,24.0,0.3157555555555555,9.0,142.16,146.15,139.64,145.03,145.03,145.52,146.8,140.63,141.13,141.13
2020-04-25,0.3501363636363637,22,0.07873529411764707,17.0,0.3012619047619048,21.0,0.1670625,24.0,,,,,,,,,,
2020-04-26,0.16381538461538464,13,0.3501363636363637,22.0,0.07873529411764707,17.0,0.3012619047619048,21.0,,,,,,,,,,
2020-04-27,0.14953999999999998,25,0.16381538461538464,13.0,0.3501363636363637,22.0,0.07873529411764707,17.0,147.52,159.9,147.0,159.75,159.75,142.16,146.15,139.64,145.03,145.03
2020-04-28,0.0,1,0.14953999999999998,25.0,0.16381538461538464,13.0,0.3501363636363637,22.0,159.13,161.0,151.34,153.82,153.82,147.52,159.9,147.0,159.75,159.75
2020-04-29,0.15051111111111112,9,0.0,1.0,0.14953999999999998,25.0,0.16381538461538464,13.0,158.03,160.64,156.63,160.1,160.1,159.13,161.0,151.34,153.82,153.82
2020-04-30,0.009075000000000019,24,0.15051111111111112,9.0,0.0,1.0,0.14953999999999998,25.0,171.04,173.96,152.7,156.38,156.38,158.03,160.64,156.63,160.1,160.1
2020-05-01,0.09814827586206896,29,0.009075000000000019,24.0,0.15051111111111112,9.0,0.0,1.0,151.0,154.55,136.61,140.26,140.26,171.04,173.96,152.7,156.38,156.38
2020-05-02,0.28909999999999997,14,0.09814827586206896,29.0,0.009075000000000019,24.0,0.15051111111111112,9.0,,,,,,,,,,
2020-05-03,0.45858,10,0.28909999999999997,14.0,0.09814827586206896,29.0,0.009075000000000019,24.0,,,,,,,,,,
2020-05-04,0.06674736842105262,19,0.45858,10.0,0.28909999999999997,14.0,0.09814827586206896,29.0,140.2,152.4,139.6,152.24,152.24,151.0,154.55,136.61,140.26,140.26
2020-05-05,0.12159499999999998,20,0.06674736842105262,19.0,0.45858,10.0,0.28909999999999997,14.0,157.96,159.78,152.44,153.64,153.64,140.2,152.4,139.6,152.24,152.24
2020-05-06,0.2609894736842106,19,0.12159499999999998,20.0,0.06674736842105262,19.0,0.45858,10.0,155.3,157.96,152.22,156.52,156.52,157.96,159.78,152.44,153.64,153.64
2020-05-07,0.09838333333333331,30,0.2609894736842106,19.0,0.12159499999999998,20.0,0.06674736842105262,19.0,155.44,159.28,154.47,156.01,156.01,155.3,157.96,152.22,156.52,156.52
2020-05-08,0.26398124999999995,16,0.09838333333333331,30.0,0.2609894736842106,19.0,0.12159499999999998,20.0,158.75,164.8,157.4,163.88,163.88,155.44,159.28,154.47,156.01,156.01
2020-05-09,0.04312777777777777,18,0.26398124999999995,16.0,0.09838333333333331,30.0,0.2609894736842106,19.0,,,,,,,,,,
2020-05-10,-0.010085714285714285,14,0.04312777777777777,18.0,0.26398124999999995,16.0,0.09838333333333331,30.0,,,,,,,,,,
2020-05-11,0.23364166666666666,24,-0.010085714285714285,14.0,0.04312777777777777,18.0,0.26398124999999995,16.0,158.1,164.8,157.0,162.26,162.26,158.75,164.8,157.4,163.88,163.88
2020-05-12,0.17825,18,0.23364166666666666,24.0,-0.010085714285714285,14.0,0.04312777777777777,18.0,165.4,168.66,161.6,161.88,161.88,158.1,164.8,157.0,162.26,162.26
2020-05-13,0.18363157894736842,19,0.17825,18.0,0.23364166666666666,24.0,-0.010085714285714285,14.0,164.17,165.2,152.66,158.19,158.19,165.4,168.66,161.6,161.88,161.88
2020-05-14,0.1914888888888889,9,0.18363157894736842,19.0,0.17825,18.0,0.23364166666666666,24.0,156.0,160.67,152.8,160.67,160.67,164.17,165.2,152.66,158.19,158.19
2020-05-15,0.169604347826087,46,0.1914888888888889,9.0,0.18363157894736842,19.0,0.17825,18.0,158.07,161.01,157.31,159.83,159.83,156.0,160.67,152.8,160.67,160.67
2020-05-17,0.2593142857142857,7,0.169604347826087,46.0,0.1914888888888889,9.0,0.18363157894736842,19.0,,,,,,,,,,
2020-05-18,0.5007,3,0.2593142857142857,7.0,0.169604347826087,46.0,0.1914888888888889,9.0,165.56,166.94,160.78,162.73,162.73,158.07,161.01,157.31,159.83,159.83
2020-05-19,0.07,7,0.5007,3.0,0.2593142857142857,7.0,0.169604347826087,46.0,163.03,164.41,161.22,161.6,161.6,165.56,166.94,160.78,162.73,162.73
2020-05-20,0.4215,1,0.07,7.0,0.5007,3.0,0.2593142857142857,7.0,164.1,165.2,162.36,163.11,163.11,163.03,164.41,161.22,161.6,161.6
2020-05-21,0.10606666666666666,6,0.4215,1.0,0.07,7.0,0.5007,3.0,163.2,166.5,159.2,165.52,165.52,164.1,165.2,162.36,163.11,163.11
2020-05-22,0.1572571428571429,14,0.10606666666666666,6.0,0.4215,1.0,0.07,7.0,164.43,166.36,162.4,163.38,163.38,163.2,166.5,159.2,165.52,165.52
2020-05-23,0.20186923076923075,13,0.1572571428571429,14.0,0.10606666666666666,6.0,0.4215,1.0,,,,,,,,,,
2020-05-24,-0.017575000000000007,8,0.20186923076923075,13.0,0.1572571428571429,14.0,0.10606666666666666,6.0,,,,,,,,,,
2020-05-25,0.23886666666666664,3,-0.017575000000000007,8.0,0.20186923076923075,13.0,0.1572571428571429,14.0,,,,,,,,,,
2020-05-26,0.3159888888888889,9,0.23886666666666664,3.0,-0.017575000000000007,8.0,0.20186923076923075,13.0,166.9,166.92,163.14,163.77,163.77,164.43,166.36,162.4,163.38,163.38
2020-05-27,0.22951538461538462,13,0.3159888888888889,9.0,0.23886666666666664,3.0,-0.017575000000000007,8.0,164.17,165.54,157.0,164.05,164.05,166.9,166.92,163.14,163.77,163.77
2020-05-29,0.2653666666666667,3,0.22951538461538462,13.0,0.3159888888888889,9.0,0.23886666666666664,3.0,161.75,167.0,160.84,167.0,167.0,162.7,164.95,160.34,161.16,161.16
2020-05-30,0.09834444444444444,9,0.2653666666666667,3.0,0.22951538461538462,13.0,0.3159888888888889,9.0,,,,,,,,,,
2020-05-31,0.07951666666666667,12,0.09834444444444444,9.0,0.2653666666666667,3.0,0.22951538461538462,13.0,,,,,,,,,,
2020-06-01,-0.005699999999999997,4,0.07951666666666667,12.0,0.09834444444444444,9.0,0.2653666666666667,3.0,171.6,179.8,170.82,179.62,179.62,161.75,167.0,160.84,167.0,167.0
2020-06-02,0.064,2,-0.005699999999999997,4.0,0.07951666666666667,12.0,0.09834444444444444,9.0,178.94,181.73,174.2,176.31,176.31,171.6,179.8,170.82,179.62,179.62
2020-06-04,0.09645555555555554,9,0.064,2.0,-0.005699999999999997,4.0,0.07951666666666667,12.0,177.98,179.15,171.69,172.88,172.88,177.62,179.59,176.02,176.59,176.59
2020-06-05,0.13396666666666665,3,0.09645555555555554,9.0,0.064,2.0,-0.005699999999999997,4.0,175.57,177.3,173.24,177.13,177.13,177.98,179.15,171.69,172.88,172.88
2020-06-06,0.07574166666666667,12,0.13396666666666665,3.0,0.09645555555555554,9.0,0.064,2.0,,,,,,,,,,
2020-06-07,0.22513333333333332,12,0.07574166666666667,12.0,0.13396666666666665,3.0,0.09645555555555554,9.0,,,,,,,,,,
2020-06-08,0.15257272727272728,11,0.22513333333333332,12.0,0.07574166666666667,12.0,0.13396666666666665,3.0,183.8,190.0,181.83,189.98,189.98,175.57,177.3,173.24,177.13,177.13
2020-06-09,0.023499999999999993,4,0.15257272727272728,11.0,0.22513333333333332,12.0,0.07574166666666667,12.0,188.0,190.89,184.79,188.13,188.13,183.8,190.0,181.83,189.98,189.98
2020-06-10,0.24470000000000003,27,0.023499999999999993,4.0,0.15257272727272728,11.0,0.22513333333333332,12.0,198.38,205.5,196.5,205.01,205.01,188.0,190.89,184.79,188.13,188.13
2020-06-11,0.1752466666666667,15,0.24470000000000003,27.0,0.023499999999999993,4.0,0.15257272727272728,11.0,198.04,203.79,194.4,194.57,194.57,198.38,205.5,196.5,205.01,205.01
