created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_1dlag_2dlag,volumne_1dlag_2dlag,sentiment_3dlag,volumne_3dlag,sentiment_1dlag_3dlag,volumne_1dlag_3dlag,sentiment_2dlag_3dlag,volumne_2dlag_3dlag,sentiment_1dlag_2dlag_3dlag,volumne_1dlag_2dlag_3dlag,open,high,low,close,adjclose
2014-09-26,0.025733333333333334,3,0.34,2.0,0.4588,1.0,0.0,1.0,0.0,1.0,0.7039571428571428,7.0,0.4404,1.0,0.3598571428571429,7.0,49.65,49.95,49.21,49.32,49.32
2014-09-30,0.4352333333333333,3,0.025733333333333334,3.0,0.34,2.0,0.4588,1.0,0.4588,1.0,0.0,1.0,0.7039571428571428,7.0,0.4404,1.0,49.38,49.53,48.02,48.54,48.54
2014-10-01,0.61035,6,0.4352333333333333,3.0,0.025733333333333334,3.0,0.34,2.0,0.34,2.0,0.4588,1.0,0.0,1.0,0.7039571428571428,7.0,48.44,48.53,47.13,48.05,48.05
2014-10-02,0.0,1,0.61035,6.0,0.4352333333333333,3.0,0.025733333333333334,3.0,0.025733333333333334,3.0,0.34,2.0,0.4588,1.0,0.0,1.0,50.04,50.56,49.07,50.28,50.28
2014-10-03,0.37895,2,0.0,1.0,0.61035,6.0,0.4352333333333333,3.0,0.4352333333333333,3.0,0.025733333333333334,3.0,0.34,2.0,0.4588,1.0,50.61,51.3,50.21,51.04,51.04
2014-10-05,0.0,1,0.37895,2.0,0.0,1.0,0.61035,6.0,0.61035,6.0,0.4352333333333333,3.0,0.025733333333333334,3.0,0.34,2.0,,,,,
2014-10-07,0.29055,4,0.0,1.0,0.37895,2.0,0.0,1.0,0.0,1.0,0.61035,6.0,0.4352333333333333,3.0,0.025733333333333334,3.0,51.71,52.29,51.15,51.91,51.91
2014-10-08,0.36543333333333333,3,0.29055,4.0,0.0,1.0,0.37895,2.0,0.37895,2.0,0.0,1.0,0.61035,6.0,0.4352333333333333,3.0,52.02,52.58,50.53,51.86,51.86
2014-10-10,0.03467142857142857,7,0.36543333333333333,3.0,0.29055,4.0,0.0,1.0,0.0,1.0,0.37895,2.0,0.0,1.0,0.61035,6.0,48.93,49.18,47.04,47.38,47.38
2014-10-11,0.0,1,0.03467142857142857,7.0,0.36543333333333333,3.0,0.29055,4.0,0.29055,4.0,0.0,1.0,0.37895,2.0,0.0,1.0,,,,,
2014-10-12,0.0,1,0.0,1.0,0.03467142857142857,7.0,0.36543333333333333,3.0,0.36543333333333333,3.0,0.29055,4.0,0.0,1.0,0.37895,2.0,,,,,
2014-10-13,0.37126000000000003,5,0.0,1.0,0.0,1.0,0.03467142857142857,7.0,0.03467142857142857,7.0,0.36543333333333333,3.0,0.29055,4.0,0.0,1.0,47.71,47.79,44.2,44.92,44.92
2014-10-17,0.0,2,0.37126000000000003,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03467142857142857,7.0,0.36543333333333333,3.0,0.29055,4.0,46.68,46.95,45.31,45.5,45.5
2014-10-20,0.7663,2,0.0,2.0,0.37126000000000003,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03467142857142857,7.0,0.36543333333333333,3.0,45.34,46.48,45.1,46.09,46.09
2014-10-21,0.21435999999999997,5,0.7663,2.0,0.0,2.0,0.37126000000000003,5.0,0.37126000000000003,5.0,0.0,1.0,0.0,1.0,0.03467142857142857,7.0,46.85,47.08,46.16,47.07,47.07
2014-10-23,0.8622,1,0.21435999999999997,5.0,0.7663,2.0,0.0,2.0,0.0,2.0,0.37126000000000003,5.0,0.0,1.0,0.0,1.0,46.93,47.26,46.4,47.06,47.06
2014-10-24,0.5411,1,0.8622,1.0,0.21435999999999997,5.0,0.7663,2.0,0.7663,2.0,0.0,2.0,0.37126000000000003,5.0,0.0,1.0,47.25,47.56,46.24,47.05,47.05
2014-10-26,0.2732,1,0.5411,1.0,0.8622,1.0,0.21435999999999997,5.0,0.21435999999999997,5.0,0.7663,2.0,0.0,2.0,0.37126000000000003,5.0,,,,,
2014-10-27,0.4093,3,0.2732,1.0,0.5411,1.0,0.8622,1.0,0.8622,1.0,0.21435999999999997,5.0,0.7663,2.0,0.0,2.0,46.85,46.92,44.06,44.33,44.33
2014-10-28,0.21997,10,0.4093,3.0,0.2732,1.0,0.5411,1.0,0.5411,1.0,0.8622,1.0,0.21435999999999997,5.0,0.7663,2.0,45.92,48.92,45.65,48.55,48.55
2014-10-29,0.65846,5,0.21997,10.0,0.4093,3.0,0.2732,1.0,0.2732,1.0,0.5411,1.0,0.8622,1.0,0.21435999999999997,5.0,48.23,48.3,47.13,47.62,47.62
2014-10-30,0.0,1,0.65846,5.0,0.21997,10.0,0.4093,3.0,0.4093,3.0,0.2732,1.0,0.5411,1.0,0.8622,1.0,47.63,48.1,47.01,47.73,47.73
2014-10-31,0.42428,5,0.0,1.0,0.65846,5.0,0.21997,10.0,0.21997,10.0,0.4093,3.0,0.2732,1.0,0.5411,1.0,48.5,48.62,47.75,48.34,48.34
